E M
-2.75 1.22474
-2.91812 0.113821
-2.90764 -0.455963
-2.7791 -0.595832
-2.68903 -0.547176
-2.62456 -0.429109
-2.57676 -0.288888
-2.54011 -0.14474
-2.51119 -0.00360859
-2.4878 0.132066
-2.46849 0.261677
-2.45228 0.385364
-2.43846 0.50355
-2.42654 0.616743
-2.41615 0.725446
-2.40701 0.83013
-2.39889 0.931216
-2.39164 1.02908
-2.38511 1.12404
-2.3792 1.21638
-2.37383 1.14312
-2.36893 1.05528
-2.36442 0.969391
-2.36027 0.885281
-2.35644 0.802803
-2.35288 0.721823
-2.34957 0.642222
-2.34649 0.563896
-2.3436 0.486751
-2.34089 0.4107
-2.33835 0.335669
-2.33596 0.261588
-2.3337 0.188395
-2.33157 0.116033
-2.32955 0.0444501
-2.32763 -0.0264003
-2.32582 -0.0965614
-2.32409 -0.166073
-2.32244 -0.234971
-2.32087 -0.303288
-2.31937 -0.371057
-2.31794 -0.438305
-2.31657 -0.505058
-2.31526 -0.571342
-2.314 -0.637179
-2.31279 -0.70259
-2.31163 -0.767595
-2.31052 -0.832212
-2.30945 -0.896458
-2.30841 -0.96035
-2.30742 -1.0239
-2.30646 -1.08713
-2.30553 -1.15005
-2.30464 -1.21266
-2.30378 -1.27499
-2.30294 -1.33705
-2.30213 -1.39883
-2.30135 -1.46036
-2.30059 -1.52165
-2.29986 -1.5827
-2.29914 -1.64352
-2.29845 -1.70411
-2.29778 -1.7645
-2.29713 -1.82467
-2.2965 -1.88465
-2.29588 -1.94444
-2.29528 -2.00403
-2.2947 -2.06345
-2.29413 -2.12269
-2.29358 -2.18176
-2.29305 -2.24067
-2.29252 -2.29942
-2.29201 -2.35801
-2.29152 -2.41645
-2.29103 -2.47475
-2.29056 -2.5329
-2.2901 -2.59092
-2.28964 -2.6488
-2.2892 -2.70655
-2.28877 -2.76417
-2.28835 -2.82167
-2.28794 -2.87905
-2.28754 -2.93631
-2.28715 -2.99345
-2.28676 -3.05049
-2.28639 -3.10741
-2.28602 -3.16423
-2.28566 -3.22095
-2.28531 -3.27756
-2.28496 -3.33408
-2.28462 -3.3905
-2.28429 -3.44682
-2.28396 -3.50305
-2.28365 -3.55919
-2.28333 -3.61525
-2.28303 -3.67122
-2.28273 -3.7271
-2.28243 -3.7829
-2.28214 -3.83862
-2.28186 -3.89427
