E M
-2.75 1.22474
-2.75148 1.11338
-2.75395 1.00265
-2.75737 0.893559
-2.76172 0.787067
-2.76696 0.684079
-2.77305 0.585428
-2.77993 0.491859
-2.78755 0.404018
-2.79583 0.322448
-2.80473 0.24758
-2.81416 0.179737
-2.82406 0.119139
-2.83437 0.065902
-2.84502 0.0200527
-2.85595 -0.0184668
-2.86711 -0.0497874
-2.87842 -0.0741024
-2.88985 -0.0916572
-2.90136 -0.102739
-2.91288 -0.107668
-2.9244 -0.106787
-2.93587 -0.100455
-2.94727 -0.0890396
-2.95856 -0.0729115
-2.96974 -0.0524387
-2.98077 -0.0279832
-2.99164 0.000102834
-2.99767 0.0314796
-2.98715 0.0658212
-2.97683 0.102818
-2.96671 0.142175
-2.95679 0.183617
-2.94708 0.226884
-2.93758 0.271734
-2.92829 0.31794
-2.91921 0.365294
-2.91034 0.413602
-2.90169 0.462685
-2.89323 0.51238
-2.88499 0.562535
-2.87694 0.613013
-2.86909 0.663688
-2.86144 0.714445
-2.85397 0.76518
-2.84669 0.815798
-2.83959 0.866215
-2.83267 0.916352
-2.82592 0.966142
-2.81934 1.01552
-2.81292 1.06443
-2.80666 1.11283
-2.80056 1.16066
-2.79461 1.2079
-2.7888 1.19499
-2.78314 1.14905
-2.77761 1.10381
-2.77222 1.05928
-2.76695 1.01548
-2.76182 0.972427
-2.7568 0.930142
-2.75191 0.888632
-2.74713 0.847906
-2.74246 0.807973
-2.7379 0.768837
-2.73345 0.730503
-2.7291 0.692972
-2.72485 0.656246
-2.72069 0.620324
-2.71663 0.585205
-2.71266 0.550887
-2.70877 0.517367
-2.70498 0.48464
-2.70126 0.452702
-2.69763 0.421548
-2.69407 0.391171
-2.69059 0.361566
-2.68719 0.332725
-2.68386 0.304642
-2.68059 0.277308
-2.6774 0.250715
-2.67427 0.224857
-2.6712 0.199724
-2.6682 0.175308
-2.66526 0.1516
-2.66238 0.128591
-2.65955 0.106273
-2.65678 0.0846372
-2.65407 0.0636736
-2.65141 0.0433736
-2.6488 0.0237281
-2.64624 0.00472806
-2.64373 -0.0136357
-2.64126 -0.0313721
-2.63885 -0.0484903
-2.63648 -0.0649992
-2.63415 -0.0809078
-2.63187 -0.0962249
-2.62963 -0.110959
-2.62743 -0.12512
-2.62527 -0.138715
-2.62315 -0.151754
-2.62106 -0.164245
-2.61902 -0.176196
-2.61701 -0.187615
-2.61504 -0.198512
-2.6131 -0.208894
-2.61119 -0.218768
-2.60932 -0.228144
-2.60748 -0.237029
-2.60567 -0.24543
-2.60389 -0.253356
-2.60215 -0.260813
-2.60043 -0.26781
-2.59874 -0.274353
-2.59708 -0.28045
-2.59545 -0.286109
-2.59384 -0.291335
-2.59226 -0.296136
-2.59071 -0.300519
-2.58918 -0.304491
-2.58768 -0.308058
-2.5862 -0.311227
-2.58474 -0.314003
-2.58331 -0.316394
-2.5819 -0.318406
-2.58052 -0.320045
-2.57915 -0.321317
-2.57781 -0.322228
-2.57649 -0.322783
-2.57519 -0.32299
-2.57391 -0.322852
-2.57264 -0.322376
-2.5714 -0.321568
-2.57018 -0.320433
-2.56898 -0.318976
-2.56779 -0.317203
-2.56662 -0.315118
-2.56547 -0.312727
-2.56434 -0.310035
-2.56323 -0.307047
-2.56213 -0.303768
-2.56105 -0.300202
-2.55998 -0.296355
-2.55893 -0.29223
-2.5579 -0.287834
-2.55688 -0.283169
-2.55588 -0.278241
-2.55489 -0.273055
-2.55391 -0.267613
-2.55295 -0.261921
-2.55201 -0.255984
-2.55108 -0.249804
-2.55016 -0.243386
-2.54926 -0.236735
-2.54836 -0.229853
-2.54749 -0.222746
-2.54662 -0.215417
-2.54577 -0.207869
-2.54493 -0.200107
-2.5441 -0.192134
-2.54328 -0.183954
-2.54248 -0.175571
-2.54169 -0.166987
-2.54091 -0.158207
-2.54014 -0.149234
-2.53938 -0.140071
-2.53863 -0.130722
-2.53789 -0.12119
-2.53717 -0.111479
-2.53645 -0.101591
-2.53575 -0.0915294
-2.53505 -0.0812979
-2.53437 -0.0708995
-2.53369 -0.060337
-2.53303 -0.0496137
-2.53237 -0.0387324
-2.53172 -0.027696
-2.53109 -0.0165077
-2.53046 -0.00517004
-2.52984 0.00631396
-2.52923 0.0179415
-2.52863 0.0297099
-2.52804 0.0416163
-2.52746 0.0536582
-2.52689 0.0658327
-2.52632 0.0781372
-2.52576 0.0905693
-2.52521 0.103126
-2.52467 0.115805
-2.52414 0.128604
-2.52362 0.141521
-2.5231 0.154552
-2.52259 0.167696
-2.52209 0.180949
-2.5216 0.194311
-2.52111 0.207777
-2.52063 0.221347
-2.52016 0.235017
-2.5197 0.248786
-2.51924 0.262651
-2.51879 0.276609
-2.51835 0.29066
-2.51792 0.304799
-2.51749 0.319027
-2.51707 0.333339
-2.51665 0.347734
-2.51624 0.362211
-2.51584 0.376766
-2.51545 0.391398
-2.51506 0.406105
-2.51468 0.420885
-2.5143 0.435735
-2.51393 0.450655
-2.51357 0.465641
-2.51321 0.480692
-2.51286 0.495806
-2.51252 0.510981
-2.51218 0.526215
-2.51185 0.541506
-2.51152 0.556853
-2.5112 0.572253
-2.51089 0.587705
-2.51058 0.603207
-2.51028 0.618757
-2.50998 0.634353
-2.50969 0.649994
-2.5094 0.665677
-2.50912 0.681402
-2.50885 0.697165
-2.50858 0.712967
-2.50832 0.728804
-2.50806 0.744675
-2.50781 0.760578
-2.50756 0.776513
-2.50732 0.792476
-2.50708 0.808467
-2.50685 0.824484
-2.50662 0.840525
-2.5064 0.856588
-2.50619 0.872673
-2.50598 0.888776
-2.50577 0.904898
-2.50557 0.921035
-2.50537 0.937188
-2.50518 0.953353
-2.505 0.969529
-2.50482 0.985716
-2.50464 1.00191
-2.50447 1.01811
-2.5043 1.03432
-2.50414 1.05053
-2.50399 1.06674
-2.50384 1.08296
-2.50369 1.09917
-2.50355 1.11538
-2.50341 1.13159
-2.50328 1.14779
-2.50315 1.16399
-2.50303 1.18017
-2.50291 1.19635
-2.5028 1.21252
-2.50269 1.22082
-2.50259 1.20468
-2.50249 1.18855
-2.50239 1.17244
-2.5023 1.15635
-2.50222 1.14028
-2.50214 1.12423
-2.50206 1.10821
-2.50199 1.0922
-2.50192 1.07622
-2.50186 1.06027
-2.5018 1.04435
-2.50175 1.02846
-2.5017 1.01259
-2.50165 0.996764
-2.50161 0.980967
-2.50158 0.965206
-2.50154 0.94948
-2.50152 0.933793
-2.5015 0.918145
-2.50148 0.902537
-2.50147 0.886972
-2.50146 0.871449
-2.50145 0.855972
-2.50145 0.840541
-2.50146 0.825157
-2.50147 0.809822
-2.50148 0.794537
-2.5015 0.779304
-2.50152 0.764123
-2.50155 0.748997
-2.50158 0.733927
-2.50162 0.718914
-2.50166 0.703959
-2.5017 0.689065
-2.50175 0.674231
-2.50181 0.65946
-2.50186 0.644753
-2.50193 0.630111
-2.50199 0.615536
-2.50207 0.601029
