nsteps X Y Vx Vy
1000 1 0 0 1.22474
1000 1 0.0557734 -0.0444431 1.22351
1000 0.997976 0.111491 -0.0885644 1.21982
1000 0.993943 0.16704 -0.132139 1.21373
1000 0.987926 0.222312 -0.174953 1.20533
1000 0.979958 0.277201 -0.216809 1.19472
1000 0.970085 0.331607 -0.257526 1.18202
1000 0.958358 0.385435 -0.296946 1.16737
1000 0.944835 0.438595 -0.334931 1.15094
1000 0.929583 0.491008 -0.37137 1.13289
1000 0.912671 0.542598 -0.406172 1.11338
1000 0.894174 0.5933 -0.439271 1.09259
1000 0.874171 0.643055 -0.470623 1.07069
1000 0.852739 0.691813 -0.500202 1.04784
1000 0.82996 0.739531 -0.528005 1.02421
1000 0.805916 0.786172 -0.55404 0.999952
1000 0.780685 0.831709 -0.578333 0.975201
1000 0.754349 0.876118 -0.600921 0.950093
1000 0.726983 0.919384 -0.62185 0.924747
1000 0.698665 0.961496 -0.641175 0.899274
1000 0.669467 1.00245 -0.658957 0.873771
1000 0.639459 1.04224 -0.67526 0.848326
1000 0.608708 1.08087 -0.690153 0.823017
1000 0.577279 1.11835 -0.703705 0.79791
1000 0.545233 1.15469 -0.715988 0.773062
1000 0.512628 1.18989 -0.72707 0.748525
1000 0.479518 1.22398 -0.737022 0.724337
1000 0.445955 1.25696 -0.74591 0.700536
1000 0.411987 1.28886 -0.753801 0.677147
1000 0.37766 1.3197 -0.760757 0.654195
1000 0.343016 1.34949 -0.76684 0.631696
1000 0.308095 1.37826 -0.772106 0.609664
1000 0.272934 1.40602 -0.776611 0.588107
1000 0.237568 1.4328 -0.780408 0.567031
1000 0.202029 1.45863 -0.783544 0.546439
1000 0.166348 1.48351 -0.786067 0.526332
1000 0.130551 1.50748 -0.78802 0.506707
1000 0.0946657 1.53055 -0.789444 0.487562
1000 0.0587153 1.55276 -0.790378 0.46889
1000 0.0227225 1.57411 -0.790856 0.450685
1000 -0.0132922 1.59463 -0.790913 0.432941
1000 -0.0493094 1.61435 -0.790579 0.415648
1000 -0.0853114 1.63328 -0.789884 0.398798
1000 -0.121282 1.65144 -0.788854 0.382381
1000 -0.157205 1.66885 -0.787516 0.366387
1000 -0.193068 1.68553 -0.785892 0.350807
1000 -0.228856 1.70151 -0.784004 0.33563
1000 -0.264559 1.71679 -0.781873 0.320845
1000 -0.300165 1.73141 -0.779516 0.306442
1000 -0.335663 1.74536 -0.776952 0.292411
1000 -0.371044 1.75868 -0.774198 0.278741
1000 -0.4063 1.77137 -0.771267 0.265422
1000 -0.441423 1.78346 -0.768174 0.252444
1000 -0.476405 1.79495 -0.764932 0.239797
1000 -0.511239 1.80587 -0.761552 0.227471
1000 -0.545919 1.81623 -0.758048 0.215456
1000 -0.58044 1.82604 -0.754427 0.203744
1000 -0.614795 1.83532 -0.750701 0.192325
1000 -0.648981 1.84408 -0.746878 0.18119
1000 -0.682993 1.85233 -0.742966 0.170331
1000 -0.716827 1.86009 -0.738974 0.159739
1000 -0.750479 1.86736 -0.734907 0.149406
1000 -0.783946 1.87417 -0.730774 0.139325
1000 -0.817225 1.88051 -0.72658 0.129487
1000 -0.850312 1.88641 -0.72233 0.119885
1000 -0.883206 1.89187 -0.718031 0.110513
1000 -0.915905 1.8969 -0.713687 0.101363
1000 -0.948405 1.90152 -0.709303 0.0924281
1000 -0.980706 1.90572 -0.704882 0.0837024
1000 -1.01281 1.90954 -0.70043 0.0751794
1000 -1.0447 1.91296 -0.695949 0.0668531
1000 -1.07639 1.916 -0.691443 0.0587177
1000 -1.10788 1.91868 -0.686915 0.0507675
1000 -1.13916 1.92099 -0.682369 0.0429972
1000 -1.17024 1.92295 -0.677806 0.0354013
1000 -1.2011 1.92456 -0.67323 0.0279749
1000 -1.23176 1.92583 -0.668642 0.0207131
1000 -1.26221 1.92678 -0.664045 0.0136111
1000 -1.29245 1.9274 -0.659441 0.00666435
1000 -1.32248 1.9277 -0.654832 -0.000131557
1000 -1.3523 1.92769 -0.650219 -0.00678088
1000 -1.38191 1.92739 -0.645605 -0.0132877
1000 -1.41131 1.92678 -0.64099 -0.0196561
1000 -1.4405 1.92589 -0.636376 -0.0258897
1000 -1.46948 1.92471 -0.631765 -0.0319925
1000 -1.49825 1.92325 -0.627157 -0.0379678
1000 -1.52681 1.92152 -0.622553 -0.0438191
1000 -1.55516 1.91953 -0.617956 -0.0495499
1000 -1.5833 1.91727 -0.613364 -0.0551633
1000 -1.61124 1.91476 -0.60878 -0.0606625
1000 -1.63896 1.91199 -0.604205 -0.0660503
1000 -1.66647 1.90899 -0.599638 -0.0713299
1000 -1.69378 1.90574 -0.595081 -0.0765039
1000 -1.72088 1.90225 -0.590534 -0.0815751
1000 -1.74777 1.89854 -0.585997 -0.0865462
1000 -1.77446 1.8946 -0.581472 -0.0914196
1000 -1.80094 1.89043 -0.576959 -0.0961978
1000 -1.82721 1.88605 -0.572458 -0.100883
1000 -1.85328 1.88146 -0.56797 -0.105478
1000 -1.87914 1.87666 -0.563494 -0.109985
1000 -1.90481 1.87165 -0.559032 -0.114405
1000 -1.93026 1.86644 -0.554583 -0.118742
1000 -1.95552 1.86103 -0.550148 -0.122997
1000 -1.98057 1.85543 -0.545727 -0.127171
1000 -2.00542 1.84964 -0.54132 -0.131267
1000 -2.03007 1.84366 -0.536928 -0.135288
1000 -2.05452 1.8375 -0.53255 -0.139233
1000 -2.07878 1.83116 -0.528187 -0.143106
1000 -2.10283 1.82464 -0.523839 -0.146908
1000 -2.12668 1.81795 -0.519506 -0.15064
1000 -2.15034 1.81109 -0.515188 -0.154304
1000 -2.1738 1.80407 -0.510884 -0.157902
1000 -2.19707 1.79688 -0.506596 -0.161435
1000 -2.22014 1.78952 -0.502323 -0.164904
1000 -2.24301 1.78201 -0.498066 -0.168311
1000 -2.26569 1.77435 -0.493823 -0.171658
1000 -2.28818 1.76653 -0.489596 -0.174945
1000 -2.31048 1.75857 -0.485384 -0.178174
1000 -2.33258 1.75045 -0.481187 -0.181346
1000 -2.35449 1.74219 -0.477006 -0.184462
1000 -2.37622 1.73379 -0.472839 -0.187524
1000 -2.39775 1.72525 -0.468687 -0.190532
1000 -2.41909 1.71658 -0.464551 -0.193487
1000 -2.44025 1.70777 -0.460429 -0.196392
1000 -2.46122 1.69882 -0.456323 -0.199246
1000 -2.482 1.68975 -0.452231 -0.202051
1000 -2.50259 1.68055 -0.448154 -0.204808
1000 -2.523 1.67122 -0.444092 -0.207518
1000 -2.54322 1.66177 -0.440044 -0.210181
1000 -2.56326 1.6522 -0.436011 -0.212798
1000 -2.58312 1.64251 -0.431992 -0.215371
1000 -2.60279 1.6327 -0.427987 -0.2179
1000 -2.62228 1.62278 -0.423997 -0.220387
1000 -2.64159 1.61274 -0.420021 -0.222831
1000 -2.66071 1.60259 -0.416058 -0.225234
