nsteps X Y Vx Vy
1000 1 0 0 1.22474
1000 1 0.0545582 -0.0465993 1.22474
1000 0.997924 0.109116 -0.0929725 1.22238
1000 0.993783 0.163569 -0.138878 1.21768
1000 0.987596 0.217813 -0.184083 1.21069
1000 0.979396 0.271745 -0.228371 1.20148
1000 0.969223 0.325267 -0.27154 1.19015
1000 0.957126 0.378284 -0.31341 1.17679
1000 0.943165 0.430705 -0.353827 1.16152
1000 0.927403 0.482447 -0.392657 1.14447
1000 0.909912 0.53343 -0.429793 1.1258
1000 0.890766 0.58358 -0.465156 1.10564
1000 0.870045 0.632833 -0.498686 1.08416
1000 0.84783 0.681129 -0.530348 1.06151
1000 0.824205 0.728415 -0.560129 1.03785
1000 0.799253 0.774648 -0.588031 1.01335
1000 0.773058 0.819789 -0.614077 0.988143
1000 0.745703 0.863808 -0.638299 0.962385
1000 0.717269 0.906679 -0.660744 0.936213
1000 0.687835 0.948384 -0.681466 0.909755
1000 0.657478 0.98891 -0.700528 0.883129
1000 0.626272 1.02825 -0.717996 0.856444
1000 0.594288 1.0664 -0.733942 0.829796
1000 0.561593 1.10337 -0.748439 0.803271
1000 0.528252 1.13915 -0.761561 0.776946
1000 0.494327 1.17376 -0.773384 0.750887
1000 0.459876 1.20721 -0.783979 0.72515
1000 0.424952 1.23951 -0.79342 0.699784
1000 0.389608 1.27069 -0.801777 0.674827
1000 0.353892 1.30075 -0.809117 0.650313
1000 0.317848 1.32972 -0.815506 0.626269
1000 0.28152 1.35761 -0.821006 0.602714
1000 0.244947 1.38446 -0.825677 0.579664
1000 0.208166 1.41029 -0.829575 0.55713
1000 0.171211 1.4351 -0.832752 0.535118
1000 0.134115 1.45894 -0.835261 0.513633
1000 0.0969068 1.48182 -0.837147 0.492675
1000 0.0596147 1.50377 -0.838457 0.472242
1000 0.0222643 1.52481 -0.839231 0.45233
1000 -0.0151206 1.54496 -0.839509 0.432934
1000 -0.0525179 1.56424 -0.839327 0.414046
1000 -0.0899071 1.58269 -0.838721 0.395659
1000 -0.127269 1.60031 -0.837721 0.377762
1000 -0.164587 1.61714 -0.836358 0.360346
1000 -0.201844 1.63319 -0.834659 0.343401
1000 -0.239025 1.64849 -0.832651 0.326915
1000 -0.276117 1.66305 -0.830358 0.310877
1000 -0.313107 1.6769 -0.827801 0.295275
1000 -0.349982 1.69005 -0.825003 0.280098
1000 -0.386733 1.70253 -0.821982 0.265334
1000 -0.42335 1.71435 -0.818757 0.250972
1000 -0.459823 1.72553 -0.815343 0.236999
1000 -0.496144 1.73609 -0.811757 0.223406
1000 -0.532305 1.74604 -0.808014 0.210179
1000 -0.568299 1.7554 -0.804126 0.197309
1000 -0.60412 1.76419 -0.800106 0.184784
1000 -0.639762 1.77242 -0.795965 0.172594
1000 -0.67522 1.78011 -0.791715 0.160728
1000 -0.710488 1.78727 -0.787365 0.149177
1000 -0.745562 1.79392 -0.782925 0.13793
1000 -0.780439 1.80006 -0.778403 0.126979
1000 -0.815114 1.80572 -0.773807 0.116313
1000 -0.849585 1.8109 -0.769144 0.105925
1000 -0.883847 1.81562 -0.764421 0.0958044
1000 -0.9179 1.81989 -0.759645 0.0859439
