nsteps X Y Vx Vy
1000 1 0 0 1.22474
1000 0.998016 0.0545582 -0.0445466 1.22474
1000 0.994048 0.109008 -0.0890708 1.22231
1000 0.988107 0.163242 -0.133351 1.21746
1000 0.980215 0.217153 -0.177171 1.21022
1000 0.970401 0.270638 -0.220319 1.20066
1000 0.958703 0.323598 -0.262597 1.18887
1000 0.945169 0.375938 -0.303822 1.17495
1000 0.929852 0.427569 -0.343827 1.15904
1000 0.912815 0.478409 -0.382467 1.14127
1000 0.894122 0.528381 -0.419616 1.1218
1000 0.873846 0.577418 -0.45517 1.10079
1000 0.85206 0.625457 -0.489049 1.0784
1000 0.828843 0.672445 -0.521192 1.05481
1000 0.804273 0.718336 -0.55156 1.03017
1000 0.77843 0.76309 -0.580131 1.00465
1000 0.751395 0.806675 -0.606902 0.97841
1000 0.723246 0.849065 -0.631885 0.951589
1000 0.694063 0.890241 -0.655106 0.924329
1000 0.663923 0.930188 -0.6766 0.896759
1000 0.6329 0.968899 -0.696415 0.868997
1000 0.601067 1.00637 -0.714605 0.841151
1000 0.568493 1.0426 -0.731229 0.813318
1000 0.535246 1.0776 -0.746351 0.785584
1000 0.501389 1.11136 -0.760039 0.758026
1000 0.466983 1.14391 -0.772363 0.73071
1000 0.432085 1.17526 -0.783391 0.703694
1000 0.396751 1.20542 -0.793195 0.677028
1000 0.361032 1.23441 -0.801843 0.650754
1000 0.324975 1.26225 -0.809403 0.624906
1000 0.288628 1.28895 -0.815941 0.599513
1000 0.252032 1.31455 -0.82152 0.574597
1000 0.215228 1.33906 -0.826202 0.550177
1000 0.178252 1.3625 -0.830045 0.526266
1000 0.14114 1.3849 -0.833105 0.502873
1000 0.103924 1.40628 -0.835436 0.480004
1000 0.0666345 1.42667 -0.837087 0.457662
1000 0.0292997 1.44609 -0.838106 0.435848
1000 -0.0080543 1.46455 -0.838537 0.414558
1000 -0.0454032 1.4821 -0.838423 0.393791
1000 -0.0827245 1.49874 -0.837803 0.37354
1000 -0.119997 1.5145 -0.836713 0.353798
1000 -0.157202 1.5294 -0.835189 0.334558
1000 -0.194321 1.54347 -0.833262 0.315812
1000 -0.231338 1.55672 -0.830962 0.297548
1000 -0.268236 1.56919 -0.828319 0.279759
1000 -0.305003 1.58088 -0.825357 0.262433
1000 -0.341625 1.59182 -0.822102 0.245559
1000 -0.37809 1.60202 -0.818575 0.229127
1000 -0.414386 1.61152 -0.814799 0.213125
1000 -0.450505 1.62032 -0.810792 0.197543
1000 -0.486435 1.62844 -0.806573 0.182369
1000 -0.522168 1.63591 -0.802159 0.167591
1000 -0.557697 1.64273 -0.797565 0.1532
1000 -0.593014 1.64893 -0.792807 0.139184
1000 -0.628112 1.65452 -0.787897 0.125533
1000 -0.662985 1.65952 -0.782849 0.112236
1000 -0.697628 1.66394 -0.777674 0.0992823
1000 -0.732035 1.66781 -0.772383 0.0866627
1000 -0.766202 1.67112 -0.766986 0.074367
1000 -0.800124 1.6739 -0.761493 0.0623856
1000 -0.833797 1.67616 -0.755912 0.0507094
1000 -0.867218 1.67791 -0.750251 0.0393292
1000 -0.900384 1.67917 -0.744517 0.0282363
1000 -0.933291 1.67994 -0.738719 0.017422
1000 -0.965938 1.68025 -0.732861 0.00687818
1000 -0.998321 1.6801 -0.726951 -0.00340323
1000 -1.03044 1.6795 -0.720993 -0.01343
1000 -1.06229 1.67846 -0.714992 -0.0232097
1000 -1.09387 1.67701 -0.708955 -0.0327495
1000 -1.12518 1.67513 -0.702884 -0.0420565
1000 -1.15622 1.67285 -0.696784 -0.0511376
1000 -1.18699 1.67018 -0.690659 -0.0599992
1000 -1.21748 1.66712 -0.684513 -0.0686478
1000 -1.2477 1.66369 -0.678348 -0.0770895
1000 -1.27764 1.65989 -0.672168 -0.0853303
1000 -1.30731 1.65573 -0.665975 -0.0933758
1000 -1.3367 1.65122 -0.659772 -0.101232
1000 -1.36581 1.64637 -0.653562 -0.108903
1000 -1.39465 1.64118 -0.647346 -0.116395
1000 -1.42321 1.63567 -0.641128 -0.123714
1000 -1.45149 1.62984 -0.634907 -0.130862
1000 -1.4795 1.6237 -0.628688 -0.137846
1000 -1.50723 1.61726 -0.62247 -0.14467
1000 -1.53468 1.61052 -0.616255 -0.151338
1000 -1.56186 1.60348 -0.610046 -0.157855
1000 -1.58875 1.59617 -0.603843 -0.164223
1000 -1.61538 1.58858 -0.597646 -0.170448
1000 -1.64173 1.58071 -0.591459 -0.176533
1000 -1.6678 1.57258 -0.58528 -0.182482
1000 -1.6936 1.56419 -0.579112 -0.188298
1000 -1.71912 1.55555 -0.572955 -0.193985
1000 -1.74437 1.54666 -0.56681 -0.199545
1000 -1.76934 1.53753 -0.560677 -0.204983
1000 -1.79405 1.52816 -0.554558 -0.210301
1000 -1.81848 1.51856 -0.548452 -0.215502
1000 -1.84264 1.50874 -0.54236 -0.220589
1000 -1.86653 1.49869 -0.536283 -0.225565
1000 -1.89015 1.48842 -0.530221 -0.230432
1000 -1.9135 1.47795 -0.524174 -0.235194
1000 -1.93658 1.46726 -0.518143 -0.239852
1000 -1.95939 1.45638 -0.512129 -0.244409
1000 -1.98194 1.44529 -0.50613 -0.248867
1000 -2.00422 1.43401 -0.500148 -0.25323
1000 -2.02623 1.42254 -0.494183 -0.257498
1000 -2.04798 1.41088 -0.488235 -0.261674
1000 -2.06947 1.39904 -0.482303 -0.26576
1000 -2.09069 1.38703 -0.476389 -0.269758
1000 -2.11165 1.37484 -0.470492 -0.27367
1000 -2.13235 1.36247 -0.464613 -0.277498
1000 -2.15278 1.34994 -0.45875 -0.281244
1000 -2.17296 1.33725 -0.452905 -0.284909
1000 -2.19287 1.3244 -0.447078 -0.288496
1000 -2.21253 1.31139 -0.441267 -0.292005
1000 -2.23193 1.29823 -0.435474 -0.295439
1000 -2.25107 1.28492 -0.429698 -0.298798
1000 -2.26996 1.27147 -0.42394 -0.302085
1000 -2.28859 1.25787 -0.418199 -0.305301
1000 -2.30696 1.24413 -0.412474 -0.308447
1000 -2.32508 1.23025 -0.406767 -0.311525
1000 -2.34295 1.21624 -0.401077 -0.314536
1000 -2.36056 1.20209 -0.395403 -0.317481
1000 -2.37792 1.18782 -0.389746 -0.320362
1000 -2.39503 1.17343 -0.384106 -0.323179
1000 -2.41189 1.15891 -0.378482 -0.325935
1000 -2.4285 1.14427 -0.372874 -0.328629
1000 -2.44486 1.12951 -0.367283 -0.331264
1000 -2.46098 1.11464 -0.361708 -0.33384
1000 -2.47684 1.09966 -0.356148 -0.336358
1000 -2.49246 1.08456 -0.350604 -0.338819
1000 -2.50783 1.06936 -0.345076 -0.341225
1000 -2.52296 1.05406 -0.339563 -0.343575
1000 -2.53784 1.03865 -0.334065 -0.345872
1000 -2.55248 1.02314 -0.328582 -0.348116
1000 -2.56687 1.00754 -0.323114 -0.350308
1000 -2.58102 0.991837 -0.317661 -0.352449
1000 -2.59493 0.976043 -0.312222 -0.354539
1000 -2.6086 0.960159 -0.306797 -0.356579
1000 -2.62202 0.944186 -0.301387 -0.35857
1000 -2.63521 0.928126 -0.29599 -0.360514
1000 -2.64815 0.911982 -0.290608 -0.362409
1000 -2.66086 0.895755 -0.285238 -0.364259
