E M
-2.75 1.22474
-2.75001 1.21359
-2.75004 1.20244
-2.75007 1.19129
-2.75012 1.18015
-2.75017 1.16901
-2.75024 1.15787
-2.75031 1.14674
-2.7504 1.13562
-2.75049 1.1245
-2.7506 1.1134
-2.75071 1.1023
-2.75084 1.09122
-2.75097 1.08014
-2.75112 1.06908
-2.75127 1.05804
-2.75144 1.04701
-2.75161 1.03599
-2.7518 1.025
-2.75199 1.01402
-2.75219 1.00306
-2.75241 0.992116
-2.75263 0.981197
-2.75286 0.9703
-2.7531 0.959426
-2.75336 0.948576
-2.75362 0.937751
-2.75389 0.926952
-2.75417 0.916179
-2.75446 0.905434
-2.75476 0.894718
-2.75507 0.884031
-2.75539 0.873374
-2.75572 0.86275
-2.75606 0.852157
-2.75641 0.841597
-2.75676 0.831072
-2.75713 0.820582
-2.7575 0.810127
-2.75789 0.799709
-2.75828 0.789329
-2.75869 0.778987
-2.7591 0.768685
-2.75952 0.758423
-2.75995 0.748201
-2.76039 0.738022
-2.76084 0.727884
-2.76129 0.717791
-2.76176 0.707741
-2.76223 0.697737
-2.76272 0.687778
-2.76321 0.677866
-2.76371 0.668001
-2.76422 0.658184
-2.76474 0.648416
-2.76526 0.638698
-2.7658 0.629029
-2.76634 0.619412
-2.76689 0.609846
-2.76745 0.600333
-2.76802 0.590872
-2.76859 0.581466
-2.76918 0.572113
-2.76977 0.562816
-2.77037 0.553574
-2.77098 0.544389
-2.77159 0.535261
-2.77222 0.52619
-2.77285 0.517177
-2.77349 0.508223
-2.77413 0.499328
-2.77479 0.490493
-2.77545 0.481718
-2.77612 0.473004
-2.7768 0.464352
-2.77748 0.455762
-2.77817 0.447234
-2.77887 0.43877
-2.77958 0.430368
-2.78029 0.422031
-2.78101 0.413759
-2.78174 0.405551
-2.78247 0.397408
-2.78321 0.389332
-2.78396 0.381321
-2.78471 0.373378
-2.78547 0.365501
-2.78624 0.357692
-2.78701 0.34995
-2.78779 0.342277
-2.78858 0.334672
-2.78937 0.327137
-2.79017 0.31967
-2.79098 0.312273
-2.79179 0.304946
-2.7926 0.297689
-2.79343 0.290502
-2.79426 0.283387
-2.79509 0.276342
-2.79593 0.269369
-2.79678 0.262467
-2.79763 0.255637
-2.79849 0.248879
-2.79935 0.242193
-2.80022 0.23558
-2.80109 0.229039
-2.80197 0.222571
-2.80286 0.216176
-2.80375 0.209854
-2.80464 0.203606
-2.80554 0.197431
-2.80645 0.19133
-2.80736 0.185303
-2.80827 0.179349
-2.80919 0.17347
-2.81011 0.167664
-2.81104 0.161933
-2.81197 0.156276
-2.81291 0.150693
-2.81385 0.145185
-2.8148 0.139751
-2.81575 0.134392
-2.8167 0.129107
-2.81766 0.123897
-2.81863 0.118762
-2.81959 0.113701
-2.82056 0.108714
-2.82154 0.103803
-2.82252 0.0989654
-2.8235 0.0942027
-2.82449 0.0895146
-2.82548 0.0849009
-2.82647 0.0803617
-2.82747 0.0758968
-2.82847 0.0715062
-2.82947 0.0671899
-2.83048 0.0629477
-2.83149 0.0587796
-2.8325 0.0546855
-2.83352 0.0506653
-2.83454 0.0467188
-2.83556 0.0428459
-2.83658 0.0390466
-2.83761 0.0353207
-2.83864 0.0316681
-2.83968 0.0280885
-2.84071 0.0245819
-2.84175 0.0211481
-2.8428 0.017787
-2.84384 0.0144984
-2.84489 0.011282
-2.84594 0.00813779
-2.84699 0.0050655
-2.84804 0.00206494
-2.8491 -0.000864071
-2.85016 -0.00372175
-2.85122 -0.0065083
-2.85228 -0.00922393
-2.85335 -0.0118689
-2.85441 -0.0144434
-2.85548 -0.0169476
-2.85655 -0.0193818
-2.85762 -0.0217463
-2.8587 -0.0240413
-2.85977 -0.026267
-2.86085 -0.0284237
-2.86193 -0.0305117
-2.86301 -0.0325311
-2.86409 -0.0344824
-2.86518 -0.0363657
-2.86626 -0.0381813
-2.86735 -0.0399296
-2.86844 -0.0416107
-2.86952 -0.043225
-2.87061 -0.0447728
-2.87171 -0.0462544
-2.8728 -0.04767
-2.87389 -0.0490201
-2.87499 -0.0503047
-2.87608 -0.0515244
-2.87718 -0.0526794
-2.87827 -0.05377
-2.87937 -0.0547965
-2.88047 -0.0557592
-2.88157 -0.0566586
-2.88267 -0.0574948
-2.88377 -0.0582683
-2.88487 -0.0589793
-2.88598 -0.0596282
-2.88708 -0.0602154
-2.88818 -0.0607411
-2.88929 -0.0612057
-2.89039 -0.0616096
-2.89149 -0.0619531
-2.8926 -0.0622366
-2.8937 -0.0624603
-2.89481 -0.0626246
-2.89591 -0.06273
-2.89702 -0.0627767
-2.89813 -0.0627651
-2.89923 -0.0626956
-2.90034 -0.0625685
-2.90144 -0.0623842
-2.90255 -0.0621431
-2.90366 -0.0618454
-2.90476 -0.0614916
-2.90587 -0.0610821
-2.90697 -0.0606171
-2.90808 -0.0600971
-2.90918 -0.0595224
