nsteps X Y Vx Vy
10000 1 0 0 1.22474
10000 1 0.00545582 -0.00445446 1.22472
10000 0.99998 0.0109115 -0.00890851 1.22467
10000 0.99994 0.016367 -0.0133619 1.2246
10000 0.999881 0.0218222 -0.0178145 1.2245
10000 0.999802 0.027277 -0.0222659 1.22438
10000 0.999702 0.0327312 -0.0267161 1.22423
10000 0.999583 0.0381847 -0.0311647 1.22406
10000 0.999445 0.0436375 -0.0356116 1.22387
10000 0.999286 0.0490894 -0.0400565 1.22365
10000 0.999107 0.0545404 -0.0444993 1.22341
10000 0.998909 0.0599903 -0.0489396 1.22314
10000 0.998691 0.065439 -0.0533774 1.22285
10000 0.998453 0.0708864 -0.0578123 1.22254
10000 0.998196 0.0763324 -0.0622441 1.2222
10000 0.997919 0.0817768 -0.0666727 1.22184
10000 0.997622 0.0872197 -0.0710978 1.22145
10000 0.997305 0.0926608 -0.0755192 1.22104
10000 0.996969 0.0981002 -0.0799367 1.2206
10000 0.996612 0.103538 -0.08435 1.22014
10000 0.996237 0.108973 -0.088759 1.21966
10000 0.995841 0.114406 -0.0931635 1.21916
10000 0.995426 0.119837 -0.0975632 1.21863
10000 0.994992 0.125266 -0.101958 1.21807
10000 0.994537 0.130692 -0.106347 1.2175
10000 0.994064 0.136115 -0.110732 1.2169
10000 0.99357 0.141536 -0.11511 1.21627
10000 0.993058 0.146954 -0.119483 1.21563
10000 0.992525 0.152369 -0.12385 1.21496
10000 0.991974 0.157782 -0.12821 1.21426
10000 0.991403 0.163191 -0.132564 1.21354
10000 0.990812 0.168597 -0.136912 1.21281
10000 0.990202 0.173999 -0.141252 1.21204
10000 0.989573 0.179398 -0.145586 1.21126
10000 0.988924 0.184794 -0.149912 1.21045
10000 0.988257 0.190186 -0.154232 1.20962
10000 0.98757 0.195575 -0.158543 1.20876
10000 0.986863 0.200959 -0.162847 1.20789
10000 0.986138 0.20634 -0.167142 1.20699
10000 0.985393 0.211717 -0.17143 1.20607
10000 0.98463 0.21709 -0.175709 1.20512
10000 0.983847 0.222458 -0.179979 1.20416
10000 0.983045 0.227822 -0.184241 1.20317
10000 0.982224 0.233182 -0.188494 1.20216
10000 0.981385 0.238537 -0.192737 1.20113
10000 0.980526 0.243888 -0.196972 1.20008
10000 0.979649 0.249234 -0.201197 1.199
10000 0.978752 0.254575 -0.205412 1.1979
10000 0.977837 0.259911 -0.209617 1.19679
10000 0.976904 0.265242 -0.213813 1.19565
10000 0.975951 0.270568 -0.217998 1.19449
10000 0.97498 0.275889 -0.222173 1.19331
10000 0.97399 0.281205 -0.226337 1.1921
10000 0.972982 0.286516 -0.230491 1.19088
10000 0.971955 0.291821 -0.234634 1.18964
10000 0.97091 0.29712 -0.238766 1.18837
10000 0.969847 0.302414 -0.242886 1.18709
10000 0.968765 0.307702 -0.246995 1.18578
10000 0.967664 0.312984 -0.251093 1.18446
10000 0.966546 0.318261 -0.255179 1.18311
10000 0.965409 0.323531 -0.259254 1.18175
10000 0.964254 0.328795 -0.263316 1.18036
10000 0.963081 0.334053 -0.267366 1.17896
10000 0.96189 0.339305 -0.271404 1.17753
10000 0.960681 0.344551 -0.27543 1.17609
10000 0.959454 0.34979 -0.279443 1.17462
10000 0.958209 0.355022 -0.283443 1.17314
10000 0.956947 0.360248 -0.287431 1.17164
10000 0.955666 0.365468 -0.291405 1.17012
10000 0.954368 0.37068 -0.295367 1.16858
10000 0.953052 0.375886 -0.299315 1.16703
