nsteps X Y Vx Vy
10000 1 0 0 1.04881
10000 1 0.00193465 -0.00184802 1.04881
10000 0.999997 0.0038693 -0.00369604 1.04881
10000 0.99999 0.00580394 -0.00554403 1.0488
10000 0.99998 0.00773857 -0.007392 1.04879
10000 0.999966 0.00967318 -0.00923993 1.04877
10000 0.999949 0.0116078 -0.0110878 1.04876
10000 0.999928 0.0135423 -0.0129357 1.04873
10000 0.999905 0.0154768 -0.0147834 1.04871
10000 0.999877 0.0174113 -0.0166311 1.04868
10000 0.999847 0.0193457 -0.0184788 1.04865
10000 0.999813 0.0212801 -0.0203263 1.04861
10000 0.999775 0.0232144 -0.0221738 1.04857
10000 0.999734 0.0251486 -0.0240212 1.04853
10000 0.99969 0.0270827 -0.0258684 1.04848
10000 0.999642 0.0290168 -0.0277155 1.04843
10000 0.999591 0.0309507 -0.0295625 1.04838
10000 0.999536 0.0328846 -0.0314094 1.04832
10000 0.999479 0.0348183 -0.0332561 1.04826
10000 0.999417 0.036752 -0.0351027 1.0482
10000 0.999352 0.0386855 -0.0369492 1.04813
10000 0.999284 0.0406189 -0.0387954 1.04806
10000 0.999213 0.0425522 -0.0406415 1.04799
10000 0.999138 0.0444853 -0.0424874 1.04791
10000 0.999059 0.0464183 -0.0443331 1.04783
10000 0.998978 0.0483511 -0.0461786 1.04774
10000 0.998892 0.0502838 -0.0480239 1.04765
10000 0.998804 0.0522163 -0.049869 1.04756
10000 0.998712 0.0541487 -0.0517139 1.04746
10000 0.998616 0.0560808 -0.0535585 1.04736
10000 0.998518 0.0580128 -0.0554029 1.04726
10000 0.998415 0.0599446 -0.0572471 1.04715
10000 0.99831 0.0618762 -0.059091 1.04704
10000 0.998201 0.0638076 -0.0609346 1.04693
10000 0.998088 0.0657388 -0.062778 1.04681
10000 0.997973 0.0676697 -0.064621 1.04669
10000 0.997853 0.0696005 -0.0664638 1.04656
10000 0.997731 0.071531 -0.0683063 1.04644
10000 0.997605 0.0734612 -0.0701485 1.0463
10000 0.997475 0.0753913 -0.0719904 1.04617
10000 0.997343 0.0773211 -0.0738319 1.04603
10000 0.997206 0.0792506 -0.0756732 1.04589
10000 0.997067 0.0811798 -0.0775141 1.04574
10000 0.996924 0.0831088 -0.0793546 1.04559
10000 0.996777 0.0850375 -0.0811948 1.04544
10000 0.996628 0.086966 -0.0830346 1.04528
10000 0.996475 0.0888941 -0.0848741 1.04512
10000 0.996318 0.090822 -0.0867132 1.04496
10000 0.996158 0.0927495 -0.0885519 1.04479
10000 0.995995 0.0946768 -0.0903902 1.04462
10000 0.995828 0.0966037 -0.0922281 1.04445
10000 0.995658 0.0985303 -0.0940655 1.04427
10000 0.995484 0.100457 -0.0959026 1.04409
10000 0.995307 0.102383 -0.0977393 1.0439
10000 0.995127 0.104308 -0.0995755 1.04372
10000 0.994943 0.106233 -0.101411 1.04352
10000 0.994756 0.108158 -0.103247 1.04333
10000 0.994566 0.110083 -0.105081 1.04313
10000 0.994372 0.112007 -0.106916 1.04293
10000 0.994175 0.113931 -0.10875 1.04272
10000 0.993974 0.115854 -0.110583 1.04251
10000 0.99377 0.117777 -0.112416 1.0423
10000 0.993563 0.1197 -0.114249 1.04208
10000 0.993352 0.121622 -0.11608 1.04186
10000 0.993138 0.123544 -0.117912 1.04164
10000 0.992921 0.125465 -0.119743 1.04141
10000 0.9927 0.127386 -0.121573 1.04118
10000 0.992475 0.129307 -0.123403 1.04095
10000 0.992248 0.131227 -0.125232 1.04071
10000 0.992017 0.133147 -0.127061 1.04047
10000 0.991782 0.135066 -0.128889 1.04022
10000 0.991545 0.136985 -0.130717 1.03997
10000 0.991304 0.138903 -0.132544 1.03972
10000 0.991059 0.140821 -0.13437 1.03947
10000 0.990811 0.142739 -0.136196 1.03921
10000 0.99056 0.144655 -0.138021 1.03895
10000 0.990305 0.146572 -0.139846 1.03868
10000 0.990047 0.148488 -0.14167 1.03841
10000 0.989786 0.150403 -0.143493 1.03814
10000 0.989521 0.152318 -0.145316 1.03786
10000 0.989253 0.154233 -0.147138 1.03758
10000 0.988982 0.156147 -0.14896 1.0373
10000 0.988707 0.15806 -0.15078 1.03701
10000 0.988429 0.159973 -0.1526 1.03672
10000 0.988148 0.161885 -0.15442 1.03643
10000 0.987863 0.163797 -0.156239 1.03613
10000 0.987574 0.165708 -0.158057 1.03583
10000 0.987283 0.167619 -0.159874 1.03553
10000 0.986988 0.169529 -0.161691 1.03522
10000 0.98669 0.171439 -0.163507 1.03491
10000 0.986388 0.173348 -0.165322 1.03459
10000 0.986083 0.175256 -0.167136 1.03427
10000 0.985775 0.177164 -0.16895 1.03395
10000 0.985463 0.179071 -0.170763 1.03363
10000 0.985148 0.180978 -0.172575 1.0333
10000 0.98483 0.182884 -0.174387 1.03297
10000 0.984508 0.18479 -0.176198 1.03263
10000 0.984183 0.186694 -0.178008 1.03229
10000 0.983855 0.188599 -0.179817 1.03195
10000 0.983523 0.190502 -0.181625 1.03161
10000 0.983188 0.192405 -0.183433 1.03126
10000 0.98285 0.194307 -0.18524 1.0309
10000 0.982508 0.196209 -0.187046 1.03055
10000 0.982163 0.19811 -0.188851 1.03019
10000 0.981815 0.20001 -0.190655 1.02982
10000 0.981463 0.20191 -0.192458 1.02946
10000 0.981108 0.203809 -0.194261 1.02909
10000 0.98075 0.205707 -0.196063 1.02871
10000 0.980388 0.207605 -0.197864 1.02834
10000 0.980023 0.209501 -0.199664 1.02796
10000 0.979655 0.211398 -0.201463 1.02757
10000 0.979283 0.213293 -0.203261 1.02719
10000 0.978908 0.215188 -0.205059 1.0268
10000 0.97853 0.217082 -0.206855 1.0264
10000 0.978148 0.218975 -0.208651 1.02601
10000 0.977763 0.220868 -0.210445 1.0256
10000 0.977375 0.22276 -0.212239 1.0252
10000 0.976984 0.224651 -0.214032 1.02479
10000 0.976589 0.226541 -0.215824 1.02438
10000 0.976191 0.228431 -0.217614 1.02397
10000 0.975789 0.23032 -0.219404 1.02355
10000 0.975385 0.232208 -0.221193 1.02313
10000 0.974977 0.234095 -0.222981 1.0227
10000 0.974565 0.235981 -0.224768 1.02228
10000 0.974151 0.237867 -0.226555 1.02184
10000 0.973733 0.239752 -0.22834 1.02141
10000 0.973312 0.241636 -0.230124 1.02097
10000 0.972887 0.243519 -0.231907 1.02053
10000 0.972459 0.245402 -0.233689 1.02008
10000 0.972028 0.247284 -0.23547 1.01964
10000 0.971594 0.249164 -0.23725 1.01918
10000 0.971156 0.251044 -0.239029 1.01873
10000 0.970715 0.252924 -0.240807 1.01827
10000 0.970271 0.254802 -0.242584 1.01781
10000 0.969824 0.256679 -0.244359 1.01734
10000 0.969373 0.258556 -0.246134 1.01688
10000 0.968919 0.260432 -0.247908 1.0164
10000 0.968462 0.262307 -0.24968 1.01593
10000 0.968001 0.264181 -0.251452 1.01545
10000 0.967537 0.266054 -0.253222 1.01497
10000 0.96707 0.267926 -0.254991 1.01448
10000 0.9666 0.269797 -0.25676 1.01399
10000 0.966126 0.271668 -0.258527 1.0135
10000 0.965649 0.273537 -0.260292 1.01301
10000 0.965169 0.275406 -0.262057 1.01251
10000 0.964686 0.277274 -0.263821 1.01201
10000 0.964199 0.27914 -0.265583 1.0115
10000 0.963709 0.281006 -0.267345 1.01099
10000 0.963216 0.282871 -0.269105 1.01048
10000 0.96272 0.284735 -0.270864 1.00996
10000 0.96222 0.286598 -0.272622 1.00944
10000 0.961717 0.28846 -0.274378 1.00892
10000 0.961211 0.290321 -0.276134 1.0084
10000 0.960702 0.292181 -0.277888 1.00787
10000 0.960189 0.29404 -0.279641 1.00734
10000 0.959673 0.295898 -0.281393 1.0068
10000 0.959154 0.297756 -0.283143 1.00626
10000 0.958632 0.299612 -0.284893 1.00572
10000 0.958106 0.301467 -0.286641 1.00518
10000 0.957578 0.303321 -0.288388 1.00463
10000 0.957046 0.305174 -0.290133 1.00408
10000 0.956511 0.307026 -0.291878 1.00352
10000 0.955972 0.308878 -0.293621 1.00296
10000 0.95543 0.310728 -0.295363 1.0024
10000 0.954886 0.312577 -0.297103 1.00184
10000 0.954338 0.314425 -0.298843 1.00127
10000 0.953786 0.316272 -0.300581 1.0007
10000 0.953232 0.318118 -0.302317 1.00012
10000 0.952674 0.319962 -0.304053 0.999544
10000 0.952113 0.321806 -0.305787 0.998963
10000 0.951549 0.323649 -0.307519 0.998379
10000 0.950982 0.32549 -0.309251 0.997791
10000 0.950412 0.327331 -0.310981 0.9972
10000 0.949838 0.32917 -0.31271 0.996606
10000 0.949261 0.331009 -0.314437 0.996009
10000 0.948681 0.332846 -0.316163 0.995408
10000 0.948098 0.334682 -0.317888 0.994805
10000 0.947512 0.336517 -0.319611 0.994198
10000 0.946922 0.338351 -0.321333 0.993587
10000 0.946329 0.340184 -0.323053 0.992974
10000 0.945733 0.342016 -0.324772 0.992357
10000 0.945134 0.343846 -0.32649 0.991737
10000 0.944532 0.345675 -0.328206 0.991114
10000 0.943927 0.347504 -0.329921 0.990488
10000 0.943318 0.349331 -0.331635 0.989858
10000 0.942706 0.351157 -0.333347 0.989226
10000 0.942091 0.352981 -0.335057 0.98859
10000 0.941473 0.354805 -0.336767 0.987951
10000 0.940852 0.356627 -0.338474 0.987308
10000 0.940228 0.358449 -0.340181 0.986663
10000 0.9396 0.360269 -0.341885 0.986014
10000 0.93897 0.362087 -0.343589 0.985363
10000 0.938336 0.363905 -0.345291 0.984708
10000 0.937699 0.365721 -0.346991 0.984049
10000 0.937059 0.367537 -0.34869 0.983388
10000 0.936416 0.369351 -0.350387 0.982724
10000 0.935769 0.371163 -0.352083 0.982056
10000 0.93512 0.372975 -0.353777 0.981385
10000 0.934467 0.374785 -0.35547 0.980712
10000 0.933812 0.376594 -0.357162 0.980035
10000 0.933153 0.378402 -0.358852 0.979354
10000 0.932491 0.380209 -0.36054 0.978671
10000 0.931826 0.382014 -0.362227 0.977985
10000 0.931158 0.383818 -0.363912 0.977295
10000 0.930486 0.385621 -0.365595 0.976602
10000 0.929812 0.387422 -0.367277 0.975907
10000 0.929134 0.389222 -0.368958 0.975208
10000 0.928454 0.391021 -0.370637 0.974506
10000 0.92777 0.392819 -0.372314 0.973801
10000 0.927083 0.394615 -0.37399 0.973093
10000 0.926394 0.39641 -0.375664 0.972381
10000 0.925701 0.398204 -0.377337 0.971667
10000 0.925005 0.399996 -0.379008 0.97095
10000 0.924305 0.401787 -0.380677 0.970229
10000 0.923603 0.403577 -0.382345 0.969505
10000 0.922898 0.405365 -0.384011 0.968779
10000 0.92219 0.407152 -0.385675 0.968049
10000 0.921478 0.408938 -0.387338 0.967316
10000 0.920764 0.410722 -0.388999 0.96658
10000 0.920046 0.412505 -0.390659 0.965841
10000 0.919325 0.414287 -0.392317 0.965099
10000 0.918602 0.416067 -0.393973 0.964354
10000 0.917875 0.417846 -0.395627 0.963606
10000 0.917145 0.419623 -0.39728 0.962855
10000 0.916412 0.421399 -0.398931 0.962101
10000 0.915677 0.423174 -0.400581 0.961344
10000 0.914938 0.424947 -0.402229 0.960584
10000 0.914196 0.426719 -0.403875 0.959821
10000 0.913451 0.42849 -0.405519 0.959054
10000 0.912703 0.430259 -0.407162 0.958285
10000 0.911952 0.432027 -0.408802 0.957513
10000 0.911198 0.433793 -0.410442 0.956738
10000 0.91044 0.435558 -0.412079 0.95596
10000 0.90968 0.437321 -0.413715 0.955178
10000 0.908917 0.439083 -0.415349 0.954394
10000 0.908151 0.440843 -0.416981 0.953607
10000 0.907382 0.442602 -0.418611 0.952817
10000 0.90661 0.44436 -0.42024 0.952024
10000 0.905834 0.446116 -0.421867 0.951228
10000 0.905056 0.447871 -0.423492 0.950429
10000 0.904275 0.449624 -0.425116 0.949626
10000 0.903491 0.451376 -0.426737 0.948822
10000 0.902704 0.453126 -0.428357 0.948014
10000 0.901914 0.454875 -0.429975 0.947203
10000 0.90112 0.456622 -0.431591 0.946389
10000 0.900324 0.458368 -0.433205 0.945572
10000 0.899525 0.460112 -0.434818 0.944753
10000 0.898723 0.461854 -0.436429 0.94393
10000 0.897918 0.463596 -0.438037 0.943104
10000 0.89711 0.465335 -0.439644 0.942276
10000 0.896299 0.467073 -0.44125 0.941445
10000 0.895485 0.46881 -0.442853 0.940611
10000 0.894668 0.470545 -0.444454 0.939773
10000 0.893848 0.472279 -0.446054 0.938933
10000 0.893026 0.474011 -0.447652 0.93809
10000 0.8922 0.475741 -0.449248 0.937245
10000 0.891371 0.47747 -0.450842 0.936396
10000 0.89054 0.479197 -0.452434 0.935544
10000 0.889705 0.480923 -0.454024 0.93469
10000 0.888868 0.482647 -0.455612 0.933833
10000 0.888027 0.48437 -0.457199 0.932972
10000 0.887184 0.486091 -0.458783 0.932109
10000 0.886337 0.48781 -0.460366 0.931244
10000 0.885488 0.489528 -0.461946 0.930375
10000 0.884636 0.491244 -0.463525 0.929503
10000 0.883781 0.492958 -0.465102 0.928629
10000 0.882923 0.494671 -0.466677 0.927752
10000 0.882062 0.496383 -0.46825 0.926872
10000 0.881199 0.498093 -0.469821 0.925989
10000 0.880332 0.499801 -0.47139 0.925103
10000 0.879462 0.501507 -0.472957 0.924215
10000 0.87859 0.503212 -0.474522 0.923323
10000 0.877715 0.504915 -0.476085 0.922429
10000 0.876837 0.506617 -0.477646 0.921532
10000 0.875955 0.508316 -0.479206 0.920633
10000 0.875072 0.510015 -0.480763 0.91973
10000 0.874185 0.511711 -0.482318 0.918825
10000 0.873295 0.513406 -0.483871 0.917917
10000 0.872402 0.515099 -0.485423 0.917006
10000 0.871507 0.516791 -0.486972 0.916093
10000 0.870609 0.518481 -0.488519 0.915176
10000 0.869708 0.520169 -0.490064 0.914257
10000 0.868804 0.521855 -0.491607 0.913336
10000 0.867897 0.52354 -0.493148 0.912411
10000 0.866987 0.525223 -0.494687 0.911484
10000 0.866075 0.526904 -0.496225 0.910554
10000 0.865159 0.528584 -0.49776 0.909621
10000 0.864241 0.530262 -0.499293 0.908686
10000 0.86332 0.531938 -0.500823 0.907747
10000 0.862396 0.533613 -0.502352 0.906807
10000 0.86147 0.535285 -0.503879 0.905863
10000 0.86054 0.536956 -0.505404 0.904917
10000 0.859608 0.538625 -0.506926 0.903968
10000 0.858673 0.540293 -0.508447 0.903016
10000 0.857735 0.541959 -0.509965 0.902062
