nsteps X Y Vx Vy
10000 1 0 0 1.14018
10000 1 0.00306616 -0.0026892 1.14018
10000 0.999993 0.00613231 -0.00537836 1.14017
10000 0.999978 0.00919845 -0.00806744 1.14015
10000 0.999957 0.0122645 -0.0107564 1.14013
10000 0.999928 0.0153306 -0.0134452 1.14009
10000 0.999892 0.0183965 -0.0161339 1.14005
10000 0.999848 0.0214623 -0.0188223 1.14
10000 0.999798 0.024528 -0.0215105 1.13994
10000 0.99974 0.0275936 -0.0241983 1.13988
10000 0.999675 0.0306589 -0.0268858 1.1398
10000 0.999602 0.0337241 -0.029573 1.13972
10000 0.999523 0.036789 -0.0322597 1.13963
10000 0.999436 0.0398537 -0.0349461 1.13953
10000 0.999342 0.0429181 -0.0376319 1.13943
10000 0.999241 0.0459823 -0.0403172 1.13931
10000 0.999132 0.0490461 -0.0430019 1.13919
10000 0.999017 0.0521096 -0.0456861 1.13905
10000 0.998894 0.0551727 -0.0483696 1.13891
10000 0.998764 0.0582355 -0.0510525 1.13877
10000 0.998627 0.0612979 -0.0537347 1.13861
10000 0.998482 0.0643598 -0.0564161 1.13845
10000 0.99833 0.0674213 -0.0590968 1.13827
10000 0.998171 0.0704824 -0.0617766 1.13809
10000 0.998005 0.0735429 -0.0644556 1.1379
10000 0.997832 0.076603 -0.0671337 1.13771
10000 0.997651 0.0796625 -0.0698109 1.1375
10000 0.997464 0.0827215 -0.0724872 1.13729
10000 0.997269 0.0857798 -0.0751624 1.13706
10000 0.997067 0.0888376 -0.0778366 1.13683
10000 0.996857 0.0918948 -0.0805098 1.1366
10000 0.996641 0.0949513 -0.0831818 1.13635
10000 0.996417 0.0980072 -0.0858527 1.1361
10000 0.996186 0.101062 -0.0885225 1.13583
10000 0.995948 0.104117 -0.091191 1.13556
10000 0.995703 0.107171 -0.0938583 1.13528
10000 0.995451 0.110224 -0.0965243 1.135
10000 0.995191 0.113276 -0.0991889 1.1347
10000 0.994924 0.116327 -0.101852 1.1344
10000 0.99465 0.119378 -0.104514 1.13409
10000 0.994369 0.122428 -0.107175 1.13377
10000 0.994081 0.125477 -0.109834 1.13344
10000 0.993786 0.128525 -0.112491 1.1331
10000 0.993483 0.131572 -0.115147 1.13276
10000 0.993174 0.134618 -0.117802 1.13241
10000 0.992857 0.137663 -0.120455 1.13205
10000 0.992533 0.140708 -0.123106 1.13168
10000 0.992202 0.143751 -0.125755 1.13131
10000 0.991864 0.146793 -0.128403 1.13092
10000 0.991518 0.149834 -0.131049 1.13053
10000 0.991166 0.152875 -0.133694 1.13013
10000 0.990806 0.155914 -0.136336 1.12972
10000 0.99044 0.158952 -0.138977 1.12931
10000 0.990066 0.161989 -0.141616 1.12889
10000 0.989685 0.165025 -0.144252 1.12845
10000 0.989297 0.168059 -0.146887 1.12801
10000 0.988902 0.171093 -0.14952 1.12757
10000 0.9885 0.174125 -0.152151 1.12711
10000 0.988091 0.177156 -0.15478 1.12665
10000 0.987675 0.180186 -0.157407 1.12618
