nsteps X Y Vx Vy
10000 1 0 0 1.22474
10000 1 0.00546798 -0.00445456 1.22473
10000 0.99998 0.0109359 -0.00890881 1.2247
10000 0.99994 0.0164037 -0.0133625 1.22464
10000 0.999881 0.0218711 -0.0178155 1.22455
10000 0.999801 0.0273383 -0.0222675 1.22444
10000 0.999702 0.0328049 -0.0267183 1.22431
10000 0.999582 0.0382709 -0.0311676 1.22415
10000 0.999443 0.0437362 -0.0356154 1.22397
10000 0.999284 0.0492007 -0.0400612 1.22376
10000 0.999105 0.0546643 -0.044505 1.22353
10000 0.998907 0.0601268 -0.0489465 1.22327
10000 0.998688 0.0655882 -0.0533854 1.22299
10000 0.99845 0.0710484 -0.0578216 1.22269
10000 0.998192 0.0765072 -0.0622549 1.22236
10000 0.997914 0.0819645 -0.0666849 1.22201
10000 0.997616 0.0874203 -0.0711116 1.22164
10000 0.997299 0.0928744 -0.0755346 1.22124
10000 0.996961 0.0983267 -0.0799539 1.22081
10000 0.996604 0.103777 -0.084369 1.22036
10000 0.996228 0.109226 -0.08878 1.21989
10000 0.995831 0.114672 -0.0931864 1.2194
10000 0.995415 0.120116 -0.0975881 1.21888
10000 0.99498 0.125558 -0.101985 1.21834
10000 0.994524 0.130997 -0.106377 1.21777
10000 0.994049 0.136434 -0.110763 1.21718
10000 0.993555 0.141868 -0.115144 1.21657
10000 0.993041 0.1473 -0.119519 1.21593
10000 0.992507 0.152728 -0.123888 1.21527
10000 0.991954 0.158154 -0.128251 1.21459
10000 0.991381 0.163577 -0.132608 1.21388
10000 0.990789 0.168996 -0.136958 1.21315
10000 0.990178 0.174412 -0.141302 1.2124
10000 0.989547 0.179825 -0.145638 1.21162
10000 0.988897 0.185234 -0.149967 1.21082
10000 0.988227 0.19064 -0.154289 1.21
10000 0.987539 0.196042 -0.158604 1.20916
10000 0.98683 0.201441 -0.16291 1.20829
10000 0.986103 0.206835 -0.167209 1.2074
10000 0.985357 0.212226 -0.171499 1.20649
10000 0.984591 0.217612 -0.175781 1.20555
10000 0.983806 0.222995 -0.180055 1.2046
10000 0.983002 0.228373 -0.18432 1.20362
10000 0.982179 0.233746 -0.188576 1.20262
10000 0.981337 0.239115 -0.192823 1.20159
10000 0.980477 0.24448 -0.19706 1.20055
10000 0.979597 0.24984 -0.201289 1.19948
10000 0.978698 0.255195 -0.205507 1.19839
10000 0.977781 0.260545 -0.209716 1.19729
10000 0.976844 0.265891 -0.213915 1.19615
10000 0.975889 0.271231 -0.218103 1.195
10000 0.974916 0.276566 -0.222282 1.19383
10000 0.973923 0.281896 -0.22645 1.19263
10000 0.972912 0.287221 -0.230607 1.19142
10000 0.971883 0.29254 -0.234753 1.19018
10000 0.970834 0.297854 -0.238888 1.18893
10000 0.969768 0.303162 -0.243012 1.18765
10000 0.968683 0.308464 -0.247125 1.18635
10000 0.96758 0.313761 -0.251226 1.18503
10000 0.966458 0.319051 -0.255316 1.1837
10000 0.965318 0.324336 -0.259394 1.18234
10000 0.96416 0.329615 -0.26346 1.18096
10000 0.962984 0.334887 -0.267514 1.17956
10000 0.96179 0.340154 -0.271555 1.17814
10000 0.960577 0.345414 -0.275584 1.17671
10000 0.959347 0.350667 -0.279601 1.17525
10000 0.958098 0.355914 -0.283605 1.17378
10000 0.956832 0.361154 -0.287596 1.17228
10000 0.955548 0.366388 -0.291574 1.17077
10000 0.954247 0.371615 -0.295538 1.16924
10000 0.952927 0.376835 -0.29949 1.16769
10000 0.95159 0.382049 -0.303428 1.16612
10000 0.950235 0.387255 -0.307353 1.16453
10000 0.948863 0.392454 -0.311264 1.16292
10000 0.947473 0.397646 -0.315161 1.1613
10000 0.946066 0.402831 -0.319045 1.15966
10000 0.944642 0.408008 -0.322914 1.158
10000 0.9432 0.413178 -0.326769 1.15632
10000 0.941741 0.41834 -0.33061 1.15463
10000 0.940265 0.423495 -0.334437 1.15291
10000 0.938772 0.428643 -0.338249 1.15119
10000 0.937262 0.433782 -0.342047 1.14944
10000 0.935735 0.438914 -0.345829 1.14768
10000 0.934191 0.444038 -0.349597 1.1459
10000 0.93263 0.449154 -0.35335 1.1441
10000 0.931053 0.454262 -0.357088 1.14229
10000 0.929458 0.459362 -0.360811 1.14046
10000 0.927848 0.464453 -0.364519 1.13862
10000 0.92622 0.469537 -0.368211 1.13676
10000 0.924576 0.474612 -0.371888 1.13488
10000 0.922916 0.479679 -0.375549 1.13299
10000 0.921239 0.484737 -0.379195 1.13109
10000 0.919546 0.489787 -0.382825 1.12916
10000 0.917837 0.494828 -0.386439 1.12723
10000 0.916112 0.499861 -0.390038 1.12528
10000 0.91437 0.504885 -0.39362 1.12331
10000 0.912613 0.5099 -0.397187 1.12133
10000 0.91084 0.514906 -0.400737 1.11933
10000 0.909051 0.519903 -0.404271 1.11732
10000 0.907246 0.524892 -0.407789 1.1153
10000 0.905425 0.529871 -0.41129 1.11326
