nsteps X Y Vx Vy
10000 1 0 0 1.22474
10000 0.99998 0.00545582 -0.00445466 1.22474
10000 0.99994 0.0109115 -0.0089093 1.22472
10000 0.999881 0.016367 -0.0133637 1.22467
10000 0.999802 0.0218222 -0.0178176 1.2246
10000 0.999702 0.027277 -0.0222709 1.2245
10000 0.999583 0.0327312 -0.0267232 1.22438
10000 0.999444 0.0381847 -0.0311744 1.22423
10000 0.999286 0.0436375 -0.0356243 1.22406
10000 0.999107 0.0490894 -0.0400726 1.22387
10000 0.998909 0.0545404 -0.0445191 1.22365
10000 0.998691 0.0599903 -0.0489636 1.22341
10000 0.998453 0.065439 -0.0534059 1.22314
10000 0.998195 0.0708863 -0.0578458 1.22285
10000 0.997918 0.0763323 -0.0622829 1.22254
10000 0.997621 0.0817768 -0.0667172 1.2222
10000 0.997304 0.0872197 -0.0711484 1.22183
10000 0.996967 0.0926608 -0.0755763 1.22145
10000 0.996611 0.0981001 -0.0800007 1.22104
10000 0.996235 0.103537 -0.0844213 1.2206
10000 0.995839 0.108973 -0.0888379 1.22014
10000 0.995423 0.114406 -0.0932504 1.21966
10000 0.994988 0.119837 -0.0976585 1.21915
10000 0.994534 0.125265 -0.102062 1.21862
10000 0.994059 0.130691 -0.106461 1.21807
10000 0.993566 0.136115 -0.110854 1.21749
10000 0.993052 0.141536 -0.115243 1.21689
10000 0.992519 0.146954 -0.119626 1.21626
10000 0.991967 0.152369 -0.124003 1.21562
10000 0.991395 0.157781 -0.128375 1.21494
10000 0.990804 0.16319 -0.13274 1.21425
10000 0.990193 0.168596 -0.137099 1.21353
10000 0.989563 0.173999 -0.141452 1.21279
10000 0.988913 0.179398 -0.145798 1.21203
10000 0.988245 0.184794 -0.150137 1.21124
10000 0.987557 0.190186 -0.154469 1.21043
10000 0.986849 0.195574 -0.158794 1.2096
10000 0.986123 0.200958 -0.163111 1.20874
10000 0.985377 0.206339 -0.167421 1.20786
10000 0.984612 0.211716 -0.171723 1.20696
10000 0.983828 0.217088 -0.176017 1.20604
10000 0.983025 0.222456 -0.180302 1.20509
10000 0.982202 0.22782 -0.184579 1.20412
10000 0.981361 0.23318 -0.188848 1.20313
10000 0.980501 0.238535 -0.193107 1.20212
10000 0.979622 0.243885 -0.197358 1.20109
10000 0.978724 0.249231 -0.2016 1.20003
10000 0.977807 0.254572 -0.205832 1.19895
10000 0.976871 0.259908 -0.210055 1.19786
10000 0.975916 0.265239 -0.214267 1.19673
10000 0.974943 0.270565 -0.21847 1.19559
10000 0.973951 0.275886 -0.222663 1.19443
10000 0.972941 0.281201 -0.226846 1.19324
10000 0.971912 0.286512 -0.231019 1.19204
